"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","86314","AZ","86314","=""86314""","69208","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86315","AZ","86315","=""86315""","97049","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86320","AZ","86320","=""86320""","42609","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86321","AZ","86321","=""86321""","94006","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86322","AZ","86322","=""86322""","69411","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86323","AZ","86323","=""86323""","62603","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86324","AZ","86324","=""86324""","46813","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86325","AZ","86325","=""86325""","74679","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86326","AZ","86326","=""86326""","57378","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86327","AZ","86327","=""86327""","71512","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86329","AZ","86329","=""86329""","58875","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86331","AZ","86331","=""86331""","40096","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86332","AZ","86332","=""86332""","49891","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86333","AZ","86333","=""86333""","55602","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86334","AZ","86334","=""86334""","78723","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86335","AZ","86335","=""86335""","64455","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86336","AZ","86336","=""86336""","68435","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86337","AZ","86337","=""86337""","50851","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86338","AZ","86338","=""86338""","68229","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86343","AZ","86343","=""86343""","71417","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86351","AZ","86351","=""86351""","81203","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86401","AZ","86401","=""86401""","66129","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86403","AZ","86403","=""86403""","58967","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86404","AZ","86404","=""86404""","72910","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86406","AZ","86406","=""86406""","77506","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86409","AZ","86409","=""86409""","50852","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86411","AZ","86411","=""86411""","67697","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86413","AZ","86413","=""86413""","41760","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86426","AZ","86426","=""86426""","64551","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86429","AZ","86429","=""86429""","58906","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86431","AZ","86431","=""86431""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86432","AZ","86432","=""86432""","48627","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86433","AZ","86433","=""86433""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86434","AZ","86434","=""86434""","58080","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86435","AZ","86435","=""86435""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86436","AZ","86436","=""86436""","44077","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86437","AZ","86437","=""86437""","78125","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86438","AZ","86438","=""86438""","41985","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86440","AZ","86440","=""86440""","63188","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86441","AZ","86441","=""86441""","25098","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86442","AZ","86442","=""86442""","48081","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86443","AZ","86443","=""86443""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86444","AZ","86444","=""86444""","26678","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86445","AZ","86445","=""86445""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86502","AZ","86502","=""86502""","20500","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86503","AZ","86503","=""86503""","36321","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86504","AZ","86504","=""86504""","46573","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86505","AZ","86505","=""86505""","28547","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86506","AZ","86506","=""86506""","31563","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86507","AZ","86507","=""86507""","35924","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86508","AZ","86508","=""86508""","17054","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86510","AZ","86510","=""86510""","29211","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86511","AZ","86511","=""86511""","41000","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86512","AZ","86512","=""86512""","31087","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86514","AZ","86514","=""86514""","47917","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86520","AZ","86520","=""86520""","15417","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86535","AZ","86535","=""86535""","31250","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86538","AZ","86538","=""86538""","30268","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86540","AZ","86540","=""86540""","24271","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86544","AZ","86544","=""86544""","23068","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86545","AZ","86545","=""86545""","26071","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86547","AZ","86547","=""86547""","39000","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","86556","AZ","86556","=""86556""","27875","2020-2024","2020","Census","Arizona (State)"
