"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Housing Units with 0 Vehicles Available","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phunomv","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","1.84","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85321","AZ","85321","=""85321""","9.66","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","6.11","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85324","AZ","85324","=""85324""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85325","AZ","85325","=""85325""","3.43","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","3.80","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85328","AZ","85328","=""85328""","6.51","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","21.04","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","1.94","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85332","AZ","85332","=""85332""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","8.23","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85334","AZ","85334","=""85334""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","2.71","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85336","AZ","85336","=""85336""","4.35","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","5.69","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","1.78","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","2.49","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","0.49","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85341","AZ","85341","=""85341""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85342","AZ","85342","=""85342""","0.41","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85344","AZ","85344","=""85344""","4.73","2020-2024","2020","Census","Arizona (State)"
